Fold,lrt_counts,latent_var,lrt_importance
fold 1,485,z185,Important
fold 2,492,z185,Important
fold 3,489,z185,Important
fold 4,477,z185,Important
fold 5,485,z185,Important
fold 6,488,z185,Important
fold 7,480,z185,Important
fold 8,484,z185,Important
fold 9,495,z185,Important
fold 0,494,z186,Important
fold 1,485,z186,Important
fold 2,492,z186,Important
fold 3,489,z186,Important
fold 4,477,z186,Important
fold 5,485,z186,Important
fold 6,488,z186,Important
fold 7,480,z186,Important
fold 8,484,z186,Important
fold 9,495,z186,Important
fold 0,494,z187,Important
fold 1,485,z187,Important
fold 2,492,z187,Important
fold 3,489,z187,Important
fold 4,477,z187,Important
fold 5,485,z187,Important
fold 6,488,z187,Important
fold 7,480,z187,Important
fold 8,484,z187,Important
fold 9,495,z187,Important
fold 0,494,z188,Important
fold 1,485,z188,Important
fold 2,492,z188,Important
fold 3,489,z188,Important
fold 4,477,z188,Important
fold 5,485,z188,Important
fold 6,488,z188,Important
fold 7,480,z188,Important
fold 8,484,z188,Important
fold 0,494,z189,Important
fold 1,485,z189,Important
fold 2,492,z189,Important
fold 3,489,z189,Important
fold 4,477,z189,Important
fold 5,485,z189,Important
fold 6,488,z189,Important
fold 7,480,z189,Important
fold 8,484,z189,Important
fold 9,495,z189,Important
fold 0,494,z19,Important
fold 1,485,z19,Important
fold 2,492,z19,Important
fold 3,489,z19,Important
fold 4,477,z19,Important
fold 5,485,z19,Important
fold 6,488,z19,Important
fold 7,480,z19,Important
fold 8,484,z19,Important
fold 9,495,z19,Important
fold 0,494,z190,Important
fold 1,485,z190,Important
fold 3,489,z190,Important
fold 4,477,z190,Important
fold 5,485,z190,Important
fold 6,488,z190,Important
fold 7,480,z190,Important
fold 8,484,z190,Important
fold 9,495,z190,Important
fold 0,494,z191,Important
fold 1,485,z191,Important
fold 2,492,z191,Important
fold 3,489,z191,Important
fold 4,477,z191,Important
fold 5,485,z191,Important
fold 6,488,z191,Important
fold 7,480,z191,Important
fold 8,484,z191,Important
fold 9,495,z191,Important
fold 0,494,z192,Important
fold 1,485,z192,Important
fold 2,492,z192,Important
fold 3,489,z192,Important
fold 4,477,z192,Important
fold 5,485,z192,Important
fold 6,488,z192,Important
fold 7,480,z192,Important
fold 8,484,z192,Important
fold 9,495,z192,Important
fold 0,494,z193,Important
fold 1,485,z193,Important
fold 2,492,z193,Important
fold 3,489,z193,Important
fold 4,477,z193,Important
fold 5,485,z193,Important
fold 6,488,z193,Important
fold 7,480,z193,Important
fold 8,484,z193,Important
fold 9,495,z193,Important
fold 0,494,z194,Important
fold 1,485,z194,Important
fold 2,492,z194,Important
fold 3,489,z194,Important
fold 4,477,z194,Important
fold 5,485,z194,Important
fold 6,488,z194,Important
fold 7,480,z194,Important
fold 8,484,z194,Important
fold 9,495,z194,Important
fold 0,494,z195,Important
fold 2,492,z195,Important
fold 3,489,z195,Important
fold 4,477,z195,Important
fold 5,485,z195,Important
fold 6,488,z195,Important
fold 7,480,z195,Important
fold 8,484,z195,Important
fold 9,495,z195,Important
fold 1,485,z196,Important
fold 2,492,z196,Important
fold 3,489,z196,Important
fold 4,477,z196,Important
fold 5,485,z196,Important
fold 7,480,z196,Important
fold 8,484,z196,Important
fold 9,495,z196,Important
fold 0,494,z197,Important
fold 1,485,z197,Important
fold 2,492,z197,Important
fold 3,489,z197,Important
fold 4,477,z197,Important
fold 5,485,z197,Important
fold 6,488,z197,Important
fold 7,480,z197,Important
fold 8,484,z197,Important
fold 9,495,z197,Important
fold 0,494,z198,Important
fold 1,485,z198,Important
fold 2,492,z198,Important
fold 3,489,z198,Important
fold 4,477,z198,Important
fold 5,485,z198,Important
fold 6,488,z198,Important
fold 7,480,z198,Important
fold 8,484,z198,Important
fold 9,495,z198,Important
fold 0,494,z199,Important
fold 1,485,z199,Important
fold 2,492,z199,Important
fold 3,489,z199,Important
fold 5,485,z199,Important
fold 6,488,z199,Important
fold 7,480,z199,Important
fold 8,484,z199,Important
fold 9,495,z199,Important
fold 0,494,z2,Important
